sentence_A	sentence_B	entailment_label	label_enc
A white dog is leaping from a cylindrical hay bale	A black dog is leaping from a cylindrical hay bale	NEUTRAL	2
A panda bear is eating some bamboo	The panda is not eating bamboo	CONTRADICTION	0
There is no squirrel spinning around in circles	A squirrel is running around in circles	CONTRADICTION	0
A woman is dipping a prawn in batter	A woman is dipping a shrimp in batter	ENTAILMENT	1
Someone is boiling okra in a pot	Someone is being boiled with okra in a pot	NEUTRAL	2
A man is playing a guitar	A boy is playing a guitar	NEUTRAL	2
A man and two women in a darkened room are sitting at a table with candles	A man is abruptly falling off a horse on a track laid in the wild	NEUTRAL	2
A boy is saying a word	A boy is saying something	ENTAILMENT	1
A girl in a uniform, which is blue, is quickly raising her arm	A girl in a uniform, which is blue, is raising her arm.	ENTAILMENT	1
A cat is eating corn on the cob	The cat is eating some corn	ENTAILMENT	1
A female cheerleader is sitting on the knee of a male cheerleader	Some cheerleaders are taking a break	NEUTRAL	2
A guy is cheerfully playing with a footbag	The man is austerely playing a piano	NEUTRAL	2
A man is playing the drums	Guitar is being played by a man	NEUTRAL	2
The boy and girl are playing on the outdoor gym	Some kids are playing on a playground	NEUTRAL	2
People are on a beach full of sand by the ocean and are enjoying a day full of sun	A bunch of people is on the shore	ENTAILMENT	1
A dog with golden fur is in the water	A dog with golden fur is out of the water	CONTRADICTION	0
The guitar is being played by the man	The guitar is being played by nobody	CONTRADICTION	0
A woman is thinking of a man	A man is thinking	NEUTRAL	2
A man is chopping a potato	A man is cutting a potato	ENTAILMENT	1
A man is peeling an onion	A man is walking along a path through a wilderness	NEUTRAL	2
There is no person cutting an onion	A person is cutting an onion	CONTRADICTION	0
A female cheerleader is sitting on the knee of a male cheerleader	A female cheerleader is sitting on the knee of a man	ENTAILMENT	1
A boy is saying a word	A baby is talking	NEUTRAL	2
The young girl in blue is having fun on a swing	The young girl in blue is having fun on a slide	NEUTRAL	2
Someone is putting away a keyboard	Someone is typing on a keyboard	NEUTRAL	2
A snowboarder is jumping off the snow	The snowboarder is not jumping off a snow covered hill	CONTRADICTION	0
The man is cheerfully hiking in the woods	The man is hiking in the woods	ENTAILMENT	1
A man is performing a dance	A man is praying	NEUTRAL	2
A snowboarder is doing a flip over a mound of snow	There is nobody jumping in the air on a board	NEUTRAL	2
A man is playing the drums	The drums are being played by a man	ENTAILMENT	1
Two brown and white dogs are fighting on a grassy area in front of a tree	Two animals are playing outside	ENTAILMENT	1
A black and white dog is jumping for a ball	The black and white dog is jumping for the ball	ENTAILMENT	1
A young girl in blue is jumping in the air	A young girl in a blue leotard is jumping on the ground	NEUTRAL	2
A man is playing guitar	A woman is playing the drums	NEUTRAL	2
A young child is standing in front of some trees	A small boy is sitting in the forest	NEUTRAL	2
The boy in the blue coverall is painting	The lady is holding the paintbrush next to the artist's easel 	NEUTRAL	2
A group of people is sitting on both sides of a red stone structure	Some people are sitting on the ground outside a monument	NEUTRAL	2
An animated airplane is landing	A plane is landing	ENTAILMENT	1
A man is pushing the buttons of a microwave	The buttons of a microwave are being pushed by a man	ENTAILMENT	1
A blond woman is sitting on the roof of a yellow vehicle and two people are inside	A woman with blond hair is sitting on the roof of a yellow vehicle and two people are inside	ENTAILMENT	1
A man and a child are kayaking through gentle waters	There is no man and child kayaking through gentle waters	CONTRADICTION	0
People are walking through a crowded street	A man and a woman are idling in a city street	NEUTRAL	2
A man is sprinkling seasoning on several sliced and buttered loaves of bread	There is no man sprinkling seasoning on several sliced and buttered loaves of bread	CONTRADICTION	0
A woman is slicing an onion	There is no woman cutting a potato	NEUTRAL	2
Four girls are doing backbends and playing outdoors	Four children are doing backbends in the park	NEUTRAL	2
A dog is in an area full of sand, with the sand that is being stirred up into the air and several plants are in the background	A dog is in the sand that is blowing in the wind	ENTAILMENT	1
Two young boys are wearing hats and sticking their colored tongues out	Two kids are not sticking out blue and green colored tongues	NEUTRAL	2
The little girl in a pink shirt is running under a tree in the desert	There is no girl wearing jeans and a pink shirt and running	CONTRADICTION	0
A man is playing a flute	A guitar is being played by a man	NEUTRAL	2
A guy is mowing the lawn	Grass is being mowed by a man	ENTAILMENT	1
The boy is playing the piano	The boy is not playing the piano	CONTRADICTION	0
There is no man singing and playing a guitar	A boy is playing a piano	NEUTRAL	2
A woman is slicing an onion	An onion is being sliced by a woman	ENTAILMENT	1
A chimp is practicing martial arts	A monkey is kicking a person	NEUTRAL	2
A person is riding a jetski in the waves	A woman is riding a Seadoo	NEUTRAL	2
Two people are sitting on a park bench on a sunny day	Two men dressed in white and black are sitting on a bench	NEUTRAL	2
A man is holding a small animal in one hand	A man is holding a big animal in one hand	NEUTRAL	2
There are no children playing and waiting	Three Asian kids are dancing and a man is looking	NEUTRAL	2
A girl is skateboarding on a half pipe	A skateboarder is doing tricks on a half pipe	NEUTRAL	2
The boy is riding a bike on the top of a metal fence	A biker is riding along the top of a fence	ENTAILMENT	1
Two young boys are looking up at the camera and one is sticking out his tongue	Two kids are looking up at the camera and one is sticking out his tongue	ENTAILMENT	1
A person in a motocross uniform is not wearing a helmet and riding a red motorcycle	A racer in full gear is wearing a helmet with sponsor logos and is riding a red sport motorcycle	NEUTRAL	2
A rhino, which is a youngling, is walking around a pen with its mother	A baby rhino is walking around a pen with its mother	ENTAILMENT	1
The bearded man is sitting on a train	The hairy man is sitting on a train	NEUTRAL	2
The woman is picking up the kangaroo	A kangaroo is picking up the woman's baby	NEUTRAL	2
A dog is jumping at a shiny blue soccer ball in a field of dry leaves	There is no dog jumping at a shiny blue soccer ball in a field of dry leaves	CONTRADICTION	0
A man is playing a flute	A man is playing an electronic keyboard	NEUTRAL	2
A black dog and a small white and black dog are looking up at a kitchen countertop	A large dog and a small dog is standing on the kitchen counter and investigate	NEUTRAL	2
A girl dressed in purple and blue is walking beside her bike at night	A woman in a top which is purple is walking a bicycle between two stone columns	NEUTRAL	2
A horse is tossing the cowboy wearing pants of blue and red color	A man is laying a cover over a wild horse that is falling on the track	NEUTRAL	2
A tiger is pacing around a cage	A tiger is walking around a cage	ENTAILMENT	1
Many people are skating in an ice park	A lot of people are in an ice skating park	NEUTRAL	2
A dark black dog and a light brown dog are playing in the backyard	A black man is running in brown grass and racing a dog	NEUTRAL	2
A boy and a girl in swimsuits are wearing arm floats	A boy and a girl in swimsuits are wearing floats for their arms	ENTAILMENT	1
The cyclist is performing a trick in the air	The cyclist isn't performing a trick in the air	CONTRADICTION	0
A girl is using sign language	A girl is communicating with sign language	ENTAILMENT	1
A man is screwing a piece of wood to a wall	There is no man massaging a woman	NEUTRAL	2
The men are fighting with their fists in a ring	Two men are fist fighting in a ring	ENTAILMENT	1
A brown dog is jumping in the air	A brown dog is sitting down	NEUTRAL	2
A group of men is playing soccer on the beach	A group of boys is not playing soccer on the beach	NEUTRAL	2
A man and a woman are running together and holding hands	A man and a woman are standing together and holding hands	NEUTRAL	2
Four athletes are with a man in a crowded stadium	A person in a pink jacket is not running onto the field	NEUTRAL	2
A girl is applying makeup to her face	A lady is putting on makeup	ENTAILMENT	1
Three young girls are dancing in the room	Some teenage girls are dancing for the camera	NEUTRAL	2
A lemur is biting a person's finger	An animal is biting someone's finger	ENTAILMENT	1
A crowd of people is near the water	A group of children in uniforms is standing at a gate and one is kissing the mother	NEUTRAL	2
The man is aiming a gun	The man is handling a gun	ENTAILMENT	1
A person who plays soccer is kicking a ball into the goal	A soccer ball is rolling into a goal net	NEUTRAL	2
The man is playing with a skull	The person is playing with a skull	ENTAILMENT	1
There is no couple running towards the ocean	A couple is running towards the ocean	CONTRADICTION	0
A dog is opening a drawer and climbing inside	A cat is opening a drawer and climbing inside	NEUTRAL	2
The man is not cutting the tape on the box	A man is cutting a box	NEUTRAL	2
A classroom is full of students	A classroom is empty	CONTRADICTION	0
The man is gracefully singing and playing the guitar	The man is singing and playing the guitar	ENTAILMENT	1
The meat is being dropped into a pan	There is no woman putting meat in a pan	NEUTRAL	2
A toddler is making a splash inside a blue paddling pool	The child is splashing water in a small blue pool	ENTAILMENT	1
A boy is standing in a room by a lamp light	A small group of people are standing and two are sitting on the couch	NEUTRAL	2
A group of people is sitting on both sides of a red stone structure	The group of people is not sitting on the ground outside a monument	NEUTRAL	2
A potato peel is falling over a woman	The man is slicing potatoes	NEUTRAL	2
A plane is taking off	A plane is landing	NEUTRAL	2
A woman is peeling the potato	One woman is peeling a potato	ENTAILMENT	1
A man in a purple hat is climbing a rocky wall with bare hands	The young man is rock climbing	NEUTRAL	2
Skewers are being placed onto a rack by a woman	A dog is jumping high into the air in the country	NEUTRAL	2
A person is scrubbing a zucchini	A woman is eating zucchini and vegetables and scrubbing with a brush	NEUTRAL	2
A man is singing and playing a guitar	A man is singing and playing a musical instrument	ENTAILMENT	1
A man is pushing the buttons of a microwave	One man is powering the microwave	NEUTRAL	2
Some young dirt bikers are getting a dirt bike up a sandy hill	Some old dirt bikers are getting a dirt bike up a sandy hill	NEUTRAL	2
A parrot is speaking	The parrot is silent in front of the microphone	CONTRADICTION	0
A woman is putting down a lemon	A woman is squeezing a lemon	NEUTRAL	2
A man in a red jacket is standing next to a yellow kayak on some rocks by the ocean	There is no man in a red jacket standing next to a yellow kayak on some rocks by the ocean	CONTRADICTION	0
A cute panda is lying down	The log is lying on the panda bear	NEUTRAL	2
There is no young boy playing a wind instrument	A kid is playing an instrument	NEUTRAL	2
A man is cutting a potato	A man is cutting a tomato	NEUTRAL	2
A woman is being caged for the dance	A woman is dancing in a cage	NEUTRAL	2
There is no man cutting onions	A woman is cutting an onion	NEUTRAL	2
A man is standing at the wheel of a classic American car that has its door and trunk open	A woman is standing at the wheel of a classic American car that has its door and trunk open	NEUTRAL	2
A child in light colored clothing is standing with his arms extended outward	Two girls are happily playing inside a jumper house	NEUTRAL	2
A man is wearing a straw hat and smoking a cigarette	A person is wearing a straw hat and smoking a cigarette	ENTAILMENT	1
A baby is talking	A boy is saying something	NEUTRAL	2
A man is carrying a tree	A man is carrying a plant	ENTAILMENT	1
Three people are driving four wheel ATVs in a street	Three people are driving ATVs	ENTAILMENT	1
A woman is slicing tofu	A woman is cutting butter	NEUTRAL	2
A big cat is opening a drawer made of plastic with its paws and is jumping inside	A big cat is opening a plastic drawer with its paws and is jumping inside	ENTAILMENT	1
Four people are walking across thick snow and the sun is setting	Some people are treading through the snow of the landscape which is beautiful and snowy	NEUTRAL	2
