id	label	statement	subjects	speaker	job_title	state	party	barely_true	false	half_true	mostly_true	pants_on_fire	context
7646.json	half-true	The Internal Revenue Service spent $60,000 on a Star Trek training video.	federal-budget	tom-graves			republican	1.0	0.0	5.0	0.0	1.0	a Twitter post
1337.json	true	"The Senate health care bill ""would leave 24 million people without insurance coverage."""	health-care	mike-enzi		Wyoming	republican	0.0	0.0	0.0	0.0	0.0	a press release
1791.json	half-true	She (Kagan) took money from Goldman Sachs just like her boss, Obama.	campaign-finance,kagan-nomination,pundits,supreme-court	michael-savage			none	0.0	0.0	1.0	0.0	1.0	his website
7560.json	half-true	Rhode Island is the last state still using the Optech III P voting machines and they dont meet suggested federal standards.	elections	robert-kando	Executive director of the Rhode Island Board of Elections.	Rhode Island	state-official	0.0	0.0	1.0	0.0	0.0	testimony before the R.I. House Oversight Committee
3917.json	true	We already have $23 billion worth of debt.	state-budget	rick-scott	Governor	Florida	republican	28.0	23.0	38.0	34.0	7.0	ABC News 27 interview
13481.json	false	Ed Gillespie would not mention (Donald Trumps) name unless he was condemning him.	campaign-advertising	corey-stewart	Chairman, Prince William County board of supervisors	Virginia	republican	2.0	1.0	0.0	0.0	0.0	an interview.
3108.json	true	There have been at least four incidents where bullets from Mexico have crossed the border.	crime,immigration,public-safety	greg-abbott	governor	Texas	republican	11.0	3.0	8.0	6.0	5.0	a press release
216.json	true	A ham and cheese sandwich on one slice of bread is the responsibility of the USDA ... But a ham and cheese sandwich on two slices of bread is the responsibility of the Food and Drug Administration.	consumer-safety,market-regulation	hillary-clinton	Presidential candidate	New York	democrat	40.0	29.0	69.0	76.0	7.0	a speech in Shenandoah, Iowa
8157.json	half-true	Since the passage of the Affordable Care Act, U.S. health care spending grew at 3.9 percent for the last three years, the lowest growth rate in over 50 years.	federal-budget,government-regulation,health-care	ron-kind	U.S. representative	Wisconsin 	democrat	0.0	0.0	2.0	0.0	0.0	a speech
65.json	true	I've cast a couple of 99-1 votes and been the lone dissenter.	candidates-biography	fred-thompson	Actor	Tennessee	republican	1.0	4.0	3.0	3.0	0.0	a speech in Sioux City, Iowa
1397.json	half-true	The Obama administration raised discretionary spending by 24 percent from President George W. Bushs last full-year budget and will run up more debt by October than Bush did in eight years.	federal-budget,stimulus	karl-rove		Texas	republican	2.0	5.0	2.0	8.0	0.0	the Washington Post
12810.json	half-true	Says Donald Trump promised the mass deportation of Latino families.	immigration	karen-bass	Representative (D-CA 37th District) 	California	democrat	0.0	0.0	1.0	0.0	0.0	a speech at the Democratic National Convention
2027.json	half-true	At his fathers bank, Alexi made tens of millions in risky loans to convicted mobsters. Then, the bank collapsed.	candidates-biography,crime,economy,message-machine	mark-kirk	U.S. Senator	Illinois	republican	2.0	1.0	2.0	0.0	0.0	a campaign video
1640.json	false	"Charlie Crist ""worked with Acorn"" to give felons voting rights."	civil-rights	marco-rubio	U.S. Senator	Florida	republican	33.0	24.0	32.0	35.0	5.0	a U.S. Senate primary debate on FOX News Sunday
1115.json	half-true	A former Clinton administration official and other economists agree that if you keep extending these temporary unemployment benefits, youre just going to extend joblessness even more.	economy,pundits,stimulus	michelle-malkin	Blogger and commentator	Colorado	none	0.0	1.0	1.0	0.0	0.0	on This Week with George Stephanopoulos
2204.json	true	Last year, we borrowed $1.4 trillion -- or 41 cents of every dollar we spent. Over half of this debt is held by foreign investors.	economy,federal-budget	george-voinovich	Former U.S. senator from Ohio	Ohio	republican	0.0	0.0	0.0	0.0	0.0	a speech in the U.S. Senate
330.json	half-true	(Romney's) record was that he raised taxes by $730-million.	taxes	john-mccain	U.S. senator	Arizona	republican	31.0	39.0	31.0	37.0	8.0	a debate in Simi Valley, Calif.
12875.json	false	Says in 2012 Obama won in every state that did not require a photo ID and lost in every state that did require a photo ID in order to vote.	elections,history,human-rights,legal-issues	viral-image			none	5.0	5.0	0.0	3.0	15.0	a posting on various websites
4655.json	true	Says 24 million people in this country cant find a full-time job, 50 million cant see a doctor when theyre sick, 47 million people need government help to feed themselves and 15 million families owe more than the value of their home.	economy	alan-grayson	U.S. House of Representatives	Florida	democrat	6.0	5.0	4.0	11.0	1.0	appearance on Bill Maher show on Oct. 7, 2011
6490.json	half-true	Paul Ryan would outlaw in vitro fertilization.	abortion,health-care,legal-issues,women	ultraviolet	Liberal advocacy group	Washington, D.C.	none	2.0	0.0	1.0	1.0	0.0	a graphic on the Internet
8445.json	false	Wendy Davis opposes any limits on abortion.	abortion	texas-right-life		Texas	none	0.0	2.0	2.0	0.0	0.0	an audio recording described as a radio ad
8181.json	half-true	There are only four countries in the world that ... legalize abortion after five months -- China, North Korea, Canada and the U.S.	abortion	carly-fiorina		California	republican	5.0	5.0	4.0	3.0	2.0	"an interview on ABC's ""This Week"""
12906.json	half-true	In Hillary Clintons tax returns, you saw a lot of income coming from donors to the Clinton Foundation and people who benefitted from her State Department term as well.	candidates-biography,income	paul-manafort			republican	0.0	2.0	1.0	0.0	1.0	"an interview on ""State of the Union"""
9104.json	true	Georgia has recovered more than $60 million that was lost to Medicaid fraud	medicaid	ed-lindsey	State Representative	Georgia	republican	0.0	0.0	0.0	2.0	0.0	press release
1214.json	half-true	"AARP is ""the largest reseller of insurance in the country"" and ""has a vested interest in seeing that the market for reselling supplemental insurance expands."""	health-care,legal-issues,medicare	ginny-brown-waite	Congresswoman	Florida	republican	2.0	0.0	2.0	0.0	0.0	a letter to AARP
3736.json	false	Says Wisconsin Gov. Scott Walker literally invented a $3.6 billion deficit.	labor,state-budget,state-finances	gwen-moore	U.S. House member -- 4th District	Wisconsin	democrat	3.0	4.0	4.0	3.0	1.0	a speech at a state Democratic Party dinner
8116.json	half-true	The federal deficit is growing.	deficit,federal-budget	eric-cantor	House Majority Leader	Virginia	republican	9.0	6.0	4.0	4.0	4.0	"an interview on ""Fox News Sunday"""
5441.json	false	Says Connie Mack failed to pay his child support.	candidates-biography,children,families	george-lemieux		Florida	republican	4.0	1.0	6.0	4.0	0.0	a Web ad
4609.json	false	Says the National Labor Relations Board told Boeing that it cant build a factory in a non-union state.	labor,new-hampshire-2012	mitt-romney	Former governor	Massachusetts	republican	34.0	32.0	58.0	33.0	19.0	a Republican presidential primary debate
4575.json	false	Not a single segment of the proposed Beltline intersects the MARTA system at MARTA stations.	transportation	eva-galambos	Mayor of Sandy Springs		none	0.0	1.0	0.0	0.0	0.0	an op-ed
8.json	false	For every single scientist that tells you (global warming is) happening and that its our fault...I can stack up another group of reports that say just the opposite.	climate-change,environment	tom-tancredo	U.S. representative	Colorado	republican	2.0	4.0	1.0	1.0	0.0	Columbia, S.C.
746.json	true	"John McCain wants to ""give oil companies another $4-billion"" in tax breaks."	taxes	barack-obama	President	Illinois	democrat	70.0	71.0	160.0	163.0	9.0	Oxford, Miss.
8006.json	false	Miami-Dade has the nations highest-rated tap water.	county-budget,environment,water	miami-dade-county		Florida	none	0.0	1.0	0.0	0.0	0.0	a county budget document
6884.json	half-true	Bill Nelson leased land that he owned for six cows, taking advantage of an agricultural tax loophole to dodge $43,000 in taxes just last year.	agriculture,taxes	american-crossroads			republican	5.0	5.0	4.0	0.0	0.0	a TV commercial
7074.json	true	Sixty percent of New Jersey doctors do not accept Medicaid patients.	medicaid	steve-lonegan	Conservative Activist	New Jersey	republican	1.0	2.0	2.0	0.0	0.0	an op-ed on the Asbury Park Press' website
13073.json	false	Says Ted Strickland supported giving $150 billion to Iranian regime that persecutes women, Christians and gays.	human-rights,islam,nuclear	american-unity-pac			republican	0.0	1.0	0.0	0.0	0.0	a campaign ad
786.json	false	"Barack Obama's plan calls for ""mandates and fines for small businesses."""	health-care	john-mccain	U.S. senator	Arizona	republican	31.0	39.0	31.0	37.0	8.0	a debate in Nashville, Tenn.
12913.json	half-true	On the Iran nuclear deal	foreign-policy,israel,nuclear	tim-canova	Nova Southeastern University law professor	Florida	democrat	0.0	0.0	1.0	2.0	0.0	a campaign mailer
2566.json	true	Since the stimulus package was passed, Ohios lost over 100,000 more jobs.	economy,message-machine,stimulus	rob-portman	U.S. senator from Ohio	Ohio	republican	3.0	5.0	11.0	11.0	1.0	a television campaign ad
8326.json	false	UPS left 15,000 employees spouses without health insurance and told them to, go on an exchange with no employer subsidy.	families,health-care	ted-cruz	Senator	Texas	republican	36.0	33.0	15.0	19.0	8.0	a Senate floor speech
6179.json	half-true	The transportation tax is regressive, and Emory University is literally getting its own transit line at virtually no cost to itself.	transportation	georgia-green-party			none	0.0	0.0	1.0	0.0	0.0	Georgia Green Party flier
5349.json	false	Maryland is creating jobs at 2 times the rate that Virginia is.	economy,job-accomplishments,jobs	martin-omalley	Maryland governor	Maryland	democrat	3.0	1.0	10.0	4.0	0.0	a TV interview.
947.json	false	The omnibus bill has only $3.8 billion in earmarks.	federal-budget	democratic-congressional-leadership			democrat	0.0	1.0	0.0	0.0	0.0	statements to reporters.
5710.json	false	General Motors is the largest corporation in the world again.	corporations,economy	joe-biden	U.S. senator	Delaware	democrat	11.0	10.0	21.0	16.0	4.0	a “Face the Nation” interview
12843.json	false	Says Donald Trump is going to go out and carpet bomb the Middle East.	foreign-policy,human-rights,iraq,military,terrorism	joe-biden	U.S. senator	Delaware	democrat	11.0	10.0	21.0	16.0	4.0	an appearance on MSNBC
10719.json	half-true	This years state budget and my spending proposal for Fiscal Year 2016 represent an infusion of more than $1 billion in additional money for K-12 education.	education,state-budget,state-finances	nathan-deal			republican	9.0	5.0	11.0	11.0	0.0	State of State
5376.json	false	On resigning from the Texas Railroad Commission.	elections	elizabeth-ames-jones		Texas	republican	1.0	0.0	0.0	0.0	0.0	a statement announcing her departure from the commission
9904.json	half-true	Says Nick Rahall voted with Obama 94 percent of the time.	voting-record	national-republican-congressional-committee			republican	18.0	9.0	8.0	5.0	8.0	a campaign ad
13244.json	true	Says Donald Trumps tax plan gives the wealthy and corporations more than the Bush tax cuts by at least a factor of two.	taxes	hillary-clinton	Presidential candidate	New York	democrat	40.0	29.0	69.0	76.0	7.0	the second presidential debate
114.json	true	She stood by ground zero workers who sacrificed their health after so many sacrificed their lives and kept standing till this administration took action.	health-care	hillary-clinton	Presidential candidate	New York	democrat	40.0	29.0	69.0	76.0	7.0	a television ad
11961.json	false	If it werent for me (illegal immigration) wouldnt even be a big subject.	immigration	donald-trump	President-Elect	New York	republican	63.0	114.0	51.0	37.0	61.0	comments during the CNN debate
11112.json	true	Says Donald Trump has supported a Canadian-style universal health care system.	elections	erick-erickson			republican	1.0	2.0	0.0	0.0	0.0	a column on Redstate.com
4861.json	false	For the past eight years, Gov. Carcieri and Mrs. Carcieri would host the lighting of the State House Christmas tree.	religion	john-depetro	Talk-show host	Rhode Island	talk-show-host	0.0	3.0	0.0	0.0	3.0	a talk-show discussion
2766.json	false	In fact, 85 percent of Oregonians voted in 2008.	voting-record	democratic-party-oregon	political party	Oregon	democrat	1.0	1.0	2.0	0.0	0.0	a doorknob flier
12069.json	half-true	More lives are lost from violence against women, sex-selective abortion, female infanticide, suicide, egregious maternal mortality, and other sex-linked causes than were lost during all of the wars and civil strife of the 20th century.	women	emma-watson			none	0.0	0.0	2.0	0.0	0.0	an interview with Gloria Steinem
13408.json	true	Surveys show that many of our citizens think we devote a full quarter or even a third of our federal budget to foreign aid.	federal-budget,foreign-policy	john-kerry	Secretary of State	Massachusetts	democrat	3.0	2.0	2.0	5.0	0.0	a speech at the Chicago Council on Global Affairs
3896.json	false	Says Gov. Chris Christies decision to close the Elizabeth MVC saved no money.	state-budget	joseph-cryan	State Assemblyman	New Jersey	democrat	1.0	1.0	0.0	0.0	0.0	a press release
1777.json	true	Ms. Kagan has spent her entire professional career in Harvard Square, Hyde Park and the D.C. Beltway.	kagan-nomination,supreme-court	john-cornyn	Senator	Texas	republican	5.0	3.0	6.0	2.0	1.0	a press release
7108.json	false	A precinct in the Allen West-Patrick Murphy recount has 7 registered voters in Guatemalan community and the tally showed 900 voted!!!!!	elections	facebook-posts	Social media posting		none	14.0	18.0	15.0	11.0	36.0	a post on Facebook
2726.json	half-true	Stabilizing the recent financial crisis will cost less than 1 percent of GDP, which is less than the 2.5 percent to fix the savings and loan crisis of the 1980s.	bankruptcy,economy,federal-budget,financial-regulation,job-accomplishments,market-regulation	barack-obama	President	Illinois	democrat	70.0	71.0	160.0	163.0	9.0	"an interview on Comedy Central's ""Daily Show with Jon Stewart"""
9857.json	false	Scott Walker gave Wisconsin job creation money to his cronies: corporate friends who contributed to his campaigns and got $570 million in job-development incentives	campaign-finance,economy,elections	greater-wisconsin-political-fund		Wisconsin	none	3.0	3.0	3.0	1.0	1.0	a campaign TV ad
5119.json	half-true	Says Rick Perry cut taxes.	corrections-and-updates,state-budget,state-finances,taxes	craig-james	Former ESPN analyst	Texas	republican	0.0	0.0	1.0	0.0	1.0	an online video ad.
420.json	false	I actually started criticizing the war in Iraq before (Obama) did.	iraq	hillary-clinton	Presidential candidate	New York	democrat	40.0	29.0	69.0	76.0	7.0	Eugene, Ore.
1703.json	half-true	"Passage of Clinton budget bill in 1993 ""led to an enormous flowering of the economy in America."""	economy,federal-budget,history,taxes,abc-news-week	bill-clinton	former president	Arkansas	democrat	4.0	2.0	12.0	11.0	3.0	an interview on ABC's This Week
449.json	half-true	"Hillary Clinton is ""willing to have workers' wages garnisheed if they refuse to buy health insurance."""	health-care,workers	barack-obama	President	Illinois	democrat	70.0	71.0	160.0	163.0	9.0	a television ad
2700.json	half-true	Company may close, all because government essentially says if they dont hire a lifeguard to watch their workers, they cant stay open.	economy,government-efficiency,jobs,legal-issues,message-machine,small-business	jeff-brandes	Director of real estate at Tibbetts Holdings LLC, his family's business	Florida	republican	0.0	0.0	1.0	1.0	0.0	a campaign video
3366.json	true	A telephone company will no longer have to provide landline service to customers if there is an alternative provider, including wireless.	market-regulation	ward-armstrong	Minority leader, House of Delegates	Virginia	democrat	0.0	3.0	0.0	0.0	1.0	a House floor speech.
4262.json	half-true	George LeMieux voted against the majority of Republicans and joined with Democrats to create a Task Force For Responsible Fiscal Action that looks strikingly similar to the Super Committee now being set up in Washington to justify massive tax hikes.	bipartisanship,deficit,federal-budget,taxes	adam-hasner		Florida	republican	2.0	1.0	4.0	4.0	0.0	a news release
2965.json	false	Sen. Jim Webb persists on negating Sen. Mark Warners votes	voting-record	george-allen	consultant	Virginia	republican	2.0	8.0	3.0	4.0	1.0	a news release.
8069.json	true	The income of the top 1 percent nearly quadrupled from 1979 to 2007, but the typical familys incomes barely budged.	economy,income	barack-obama	President	Illinois	democrat	70.0	71.0	160.0	163.0	9.0	a speech in Galesburg, Ill.
7616.json	true	Right now, Texas doesnt have an income tax and Oklahomas lowering their income tax rates, and guess what their severance tax is? Sky high.	state-budget,taxes	john-kasich	Governor of Ohio as of Jan. 10, 2011	Ohio	republican	9.0	8.0	10.0	18.0	3.0	a television interview
986.json	true	Congress shoveled $700 billion into the Troubled Assets Relief Program, $325 billion of which has been spent without purchasing any toxic assets.	economy,pundits	george-will	Columnist	Maryland	columnist	7.0	6.0	3.0	5.0	1.0	a column published by the Washington Post and other news organizations.
10101.json	false	Some doctors say Ebola can be transmitted through the air by a sneeze or some cough.	ebola,health-care,public-health	george-will	Columnist	Maryland	columnist	7.0	6.0	3.0	5.0	1.0	"comments on ""Fox News Sunday"""
9205.json	half-true	Says opposing the Paycheck Fairness Act is part of the Koch brothers agenda.	congress,income,women	gary-peters	U.S. Representative	Michigan	democrat	0.0	0.0	1.0	0.0	0.0	a press release
